name, type, area, direction, fitment, elevator, total_price, unit_price, property
一楼带院子60平方 配套齐全 上下四层 户型方正, 5室2厅, 233.9, 南, 精装, 有, 370, 11506, 共有
全新毛胚    楼层好  满二年  通透三房, 5室2厅, 233.9, 南, 精装, 有, 249, 23376, 非共有
新上好房，双拼别墅花园150平，清水毛坯，南无遮挡！, 5室2厅, 233.9, 南, 精装,  , 349, 15389, 非共有
裕花园不靠高架边套三房 带独立走廊两梯四户 采光十足, 5室2厅, 233.9, 南, 精装, 有, 174, 19825, 共有
东原芊浔 纯毛坯户型方正采光好湿地公园天然氧吧, 5室2厅, 233.9, 南, 精装, 暂无数据, 198, 20699, 共有
中间位置总高10层电梯洋房，空中别墅，露苔100平米, 5室2厅, 233.9, 南, 精装, 有, 1100, 47029, 非共有
万达南精装三房带车库 满五唯一  阳光充足 视野开阔, 5室2厅, 233.9, 南, 精装, 有, 210, 18588, 共有
带露台，视野采光好，有车库，交通便利。, 5室2厅, 233.9, 南, 精装, 无, 192, 10053, 共有
富贵花园精装2房 带小车库 好楼层看房方便, 5室2厅, 233.9, 南, 精装, 无, 159, 18625, 共有
农房英伦尊邸 3室2厅 南, 5室2厅, 233.9, 南, 精装, 有, 169, 14955, 非共有
绿地滨江雅苑，高区楼层，居家精装3房，户型南北通透, 5室2厅, 233.9, 南, 精装, 有, 168, 19458, 共有
新上 苏苑新村南区 两房朝南 采光无遮挡 看房有钥匙, 5室2厅, 233.9, 南, 精装, 无, 125, 17909, 共有
中海星湖国际洋房 后排位置安静 客厅带阳台, 5室2厅, 233.9, 南, 精装, 有, 556, 59766, 非共有
复式大四房，得房率高，无遮挡，采光充足。, 5室2厅, 233.9, 南, 精装, 有, 285, 22406, 共有
诚意卖！奥体旁低密度洋房 楼层好 视野开阔 采光充足, 5室2厅, 233.9, 南, 精装, 有, 835, 60967, 共有
山景洋房，满五唯一，格局通透，低于市价20万在售！, 5室2厅, 233.9, 南, 精装, 有, 176, 16297, 共有
望亭别墅 精装修 房东在市区买房的  看中价格可谈, 5室2厅, 233.9, 南, 精装,  , 397, 12737, 共有
禹洲嘉誉山 3室2厅 南 北, 5室2厅, 233.9, 南, 精装, 暂无数据, 175, 19851, 非共有
花苑大复式 带南北双露台 户型好 单价低, 5室2厅, 233.9, 南, 精装, 无, 205, 10609, 共有
名墅花园 花样别野 精装四间套房 位置安静 诚心出售, 5室2厅, 233.9, 南, 精装, 无, 520, 23723, 非共有
惠阳一村一楼带大院子，精装修拎包入住, 5室2厅, 233.9, 南, 精装, 无, 158, 18810, 非共有
香樟园前排三房 高层视野好 采光好, 5室2厅, 233.9, 南, 精装, 有, 185, 20005, 共有
地铁口 人民医院旁边：小高层  满2年 业主诚心出售, 5室2厅, 233.9, 南, 精装, 暂无数据, 308, 24224, 非共有
园区南次新小区，精装修三房，户型方正，家具家电全留, 5室2厅, 233.9, 南, 精装, 有, 169.5, 18357, 共有
急售湖景房！博威大平层，四开间朝南，中Y空调加地暖, 5室2厅, 233.9, 南, 精装, 有, 580, 29043, 共有
园区南次新小区边户大三房 全天采光 位置好诚心出售, 5室2厅, 233.9, 南, 精装, 有, 169, 17350, 共有
嘉宝花园三期，满五年，精装修，面积大，户型好, 5室2厅, 233.9, 南, 精装, 无, 220, 26307, 共有
晶蓝上城，带40平花园，5房带装修, 5室2厅, 233.9, 南, 精装, 有, 157, 15579, 共有
城北新村 5楼 96.78平+自11平 3室, 5室2厅, 233.9, 南, 精装, 暂无数据, 105, 10850, 共有
满5年唯一 简单装修  双阳台 诚心急售, 5室2厅, 233.9, 南, 精装, 无, 108, 12634, 共有
城北商圈 精装4房 带大露台 采光可以, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 165, 11963, 共有
地铁2号线 胥江府 中上楼层三房 急卖, 4室2厅, 137.93, 南 北, 精装, 有, 260, 29446, 共有
滨江汇 3室1厅 南, 4室2厅, 137.93, 南 北, 精装, 有, 188, 21496, 共有
梧桐园好楼层 边户南北嗵透 位置好 出门苏悦汇和學校, 4室2厅, 137.93, 南 北, 精装, 有, 208, 21486, 非共有
满五唯一，精装四房两卫，拎包入住，楼层视野好, 4室2厅, 137.93, 南 北, 精装, 有, 218, 15173, 共有
华润置地自持物业 精装30万复式住宅 南北通透 采光好, 4室2厅, 137.93, 南 北, 精装, 有, 266, 27845, 非共有
精装20多万自住小三房，诚心出售, 4室2厅, 137.93, 南 北, 精装, 有, 175, 20519, 非共有
S.1号线地铁口，双阳台大三房，绿化日常购物好，急售, 4室2厅, 137.93, 南 北, 精装, 有, 200, 19092, 非共有
精装钟央空调，边户采光好，看房有钥匙，, 4室2厅, 137.93, 南 北, 精装, 有, 460, 37653, 共有
叶圣陶书院，优质C户 ，采光好，位置好，有钥匙看房, 4室2厅, 137.93, 南 北, 精装, 有, 172, 19613, 共有
中房颐园精装带中 央空调好楼层, 4室2厅, 137.93, 南 北, 精装, 有, 269, 27585, 非共有
万科四季风景 业主诚心急售 看房有钥匙, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 199, 18491, 非共有
滨江城装修保养好三房，家具家电全留，拎包入住, 4室2厅, 137.93, 南 北, 精装, 有, 185, 20754, 共有
急急急！精装自住大三房两卫，领包入住，价格可议, 4室2厅, 137.93, 南 北, 精装, 有, 173, 14845, 非共有
滨江城南北通风房东装修保养好自住价格好谈, 4室2厅, 137.93, 南 北, 精装, 有, 170, 19391, 共有
湖景房，跃层产品，一梯一户，四房三卫, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 369, 27334, 非共有
滨江汇 3室1厅 南 北, 4室2厅, 137.93, 南 北, 精装, 有, 175, 19530, 非共有
绿地三期，简单装修三房，采光佳，可以谈, 4室2厅, 137.93, 南 北, 精装, 有, 219, 24547, 非共有
万科精装小三房，业主自住的，好楼层，配车位, 3室2厅, 217.49, 南, 毛坯, 暂无数据, 200, 21024, 共有
满二、简装毛坯，采光好 业主诚心卖, 3室2厅, 217.49, 南, 毛坯, 有, 190, 16240, 非共有
海尚壹品南北通透四房，业主自住装修保养好, 3室2厅, 217.49, 南, 毛坯, 有, 680, 55335, 共有
中宅新村 3室2厅 南, 3室2厅, 217.49, 南, 毛坯, 暂无数据, 90, 10515, 非共有
胥江府三房房东自住保养好拎包入住, 3室2厅, 217.49, 南, 毛坯, 有, 265, 30012, 非共有
花桥裕花园精装3房 楼栋好 采光充足 置换诚心卖, 3室2厅, 217.49, 南, 毛坯, 有, 170, 19389, 共有
急售：双地铁口 御窑大户带阁楼带大汽车库红蚂蚁装修, 3室2厅, 217.49, 南, 毛坯, 无, 258, 10355, 非共有
丽湾国际一线湖景房，上下两层精装，业主只住了1个月, 3室2厅, 217.49, 南, 毛坯, 有, 320, 16279, 共有
干将路广济路交叉口 1.2楼复式带花园 坐拥石路商圈, 3室2厅, 217.49, 南, 毛坯, 无, 525, 29268, 共有
紫竹联排湖景别墅，小区环境优美，适合度假养老。, 3室2厅, 217.49, 南, 毛坯,  , 330, 17935, 共有
急售 5楼复式 有汽车库 南北露台利用面积多适合家, 3室2厅, 217.49, 南, 毛坯, 无, 245, 10382, 共有
独栋别墅 精装四房 业主急售 有钥匙，拎包入住, 3室2厅, 217.49, 南, 毛坯,  , 660, 22000, 共有
园区湖边湖景大平层，一线湖景直击湖面, 3室2厅, 217.49, 南, 毛坯, 有, 1380, 42541, 非共有
同里小川东路联排别墅，房屋设计结构合理，简装带院子, 3室2厅, 217.49, 南, 毛坯, 无, 330, 17578, 共有
精装修 总价低 拎包入住 视野好 满二年, 3室2厅, 217.49, 南, 毛坯, 有, 240, 19126, 共有
全新装修三房拎包入住 景观楼层  看房提前约比较方便, 2室1厅, 89.85, 南, 精装, 有, 228, 23588, 非共有
香漫雅园婚装3房  地铁高架 配套齐全 采光好, 2室1厅, 89.85, 南, 精装, 有, 200, 21728, 非共有
新狮新苑西区 五楼带高阁楼 阳光房 诚意出售 价格可谈, 2室1厅, 89.85, 南, 精装, 无, 161, 16508, 非共有
路劲凤凰城 3室2厅 南, 2室1厅, 89.85, 南, 精装, 有, 348, 28574, 非共有
此房满二唯一，南北通位置好没有遮挡，房东诚心出售, 2室1厅, 89.85, 南, 精装, 有, 271, 22932, 非共有
衡山城全新精装修大3房，2卫，一梯两户，户型位置好。, 2室1厅, 89.85, 南, 精装, 有, 308, 22407, 共有
阳光城丽景湾，新上房源，店长主推，高层江景房, 2室1厅, 89.85, 南, 精装, 有, 188, 20084, 共有
城东G端小区 总高洋房  精装60万 Z央空调 诚心出售, 2室1厅, 89.85, 南, 精装, 无, 509, 36436, 共有
满五唯一，景观楼层，边套户型，随时看房！, 2室1厅, 89.85, 南, 精装, 有, 229, 23997, 共有
家天下三房两卫，精装修，带车位，满五唯一, 2室1厅, 89.85, 南, 精装, 有, 284, 24974, 非共有
精装大三房，全屋二次精装修，品牌家私全留，中上楼层, 2室1厅, 89.85, 南, 精装, 有, 698, 55481, 非共有
万科高品质洋房，一天未住的次新房，中高层，保养如新, 2室1厅, 89.85, 南, 精装, 有, 210, 24721, 共有
张家港碧桂园滨河生活广场 4室2厅 南, 2室1厅, 89.85, 南, 精装, 有, 112, 8179, 共有
广济南路地铁口 前后间距大  房东诚心出售 有钥匙, 2室1厅, 89.85, 南, 精装, 无, 178, 23141, 共有
全天采光 3房 满2年  业主急售  随时可以看, 2室1厅, 89.85, 南, 精装, 有, 178, 19884, 非共有
户型格局好，毛坯可按照自己想法设计 诚心出售, 2室1厅, 89.85, 南, 精装, 有, 146, 17177, 共有
中间楼层，采光刺眼，精装修，拎包入住, 4室2厅, 121.01, 南 北, 精装, 有, 165, 19657, 共有
彩香二村，地铁口，精装修二楼，看房方便 诚心出售, 4室2厅, 121.01, 南 北, 精装, 无, 104, 24964, 共有
中间楼层  纯毛坯 可随意装修 诚心出售 价格可谈, 4室2厅, 121.01, 南 北, 精装, 有, 108, 11511, 共有
东湖京华 京珠苑 毛坯三房 观景阳台 大客厅 随时看房, 4室2厅, 121.01, 南 北, 精装, 有, 140, 9789, 共有
地铁口毛坯2房，位置好，诚意出售, 4室2厅, 121.01, 南 北, 精装, 无, 105, 17600, 共有
满两年 有钥匙 随时看房 位置好, 4室2厅, 121.01, 南 北, 精装, 有, 137, 20306, 共有
宝祥苑 2室1厅 南, 4室2厅, 121.01, 南 北, 精装, 有, 122, 17524, 共有
带北院子 精装修两房 家具家电全留 拎包即可入住, 4室2厅, 121.01, 南 北, 精装, 无, 230, 24884, 非共有
新上里河五八村 全明户型 全新婚装 户型好 看房有钥匙, 4室2厅, 121.01, 南 北, 精装, 无, 136, 22288, 共有
新空房 楼层好 视野好 满两年 有钥匙诚心卖, 4室2厅, 121.01, 南 北, 精装, 有, 100, 10921, 共有
诚心出售 运河湾 人车分流小区精装修 家电家具齐全, 4室2厅, 121.01, 南 北, 精装, 有, 46, 12715, 共有
合家欢花园  双拼别墅  带花园  诚意出售看房方便, 4室2厅, 121.01, 南 北, 精装,  , 800, 27998, 共有
市政府地铁口，精装三房，南北通风，带车库，有钥匙, 4室2厅, 121.01, 南 北, 精装, 无, 216, 19930, 共有
绿地中式别墅，精装全配，满五年唯一带车位，拎包入住, 4室2厅, 121.01, 南 北, 精装,  , 460, 27598, 共有
次新房，全新装修，一线临湖，内设电梯，即买即住., 4室2厅, 121.01, 南 北, 精装, 无, 667, 35045, 共有
水岸华府 科教新城 天镜湖 南郊, 4室2厅, 121.01, 南 北, 精装, 暂无数据, 360, 17767, 共有
水岸华府202平，景观楼层五室居住舒服, 4室2厅, 121.01, 南 北, 精装, 暂无数据, 346.8, 17115, 非共有
金御华府，电梯洋房，顶复有大露台，改善4房2卫, 4室2厅, 121.01, 南 北, 精装, 有, 597, 35964, 共有
顶楼复式，采光好，全明户型，有阳光房, 4室2厅, 121.01, 南 北, 精装, 无, 155, 9394, 共有
好房子，好楼层，湖景房，看中出价。, 4室2厅, 121.01, 南 北, 精装, 有, 370, 22167, 共有
铂悦系 湖景正四房 全明户型 全天采光 有钥匙看房随时, 4室2厅, 121.01, 南 北, 精装, 有, 1640, 88097, 非共有
别墅 5房4厅 清水毛坯 总高5层 可做电梯！, 4室2厅, 121.01, 南 北, 精装,  , 1200, 32806, 共有
龙湖天街旁精装修三房双轨地铁70年产权看中可谈, 4室2厅, 121.01, 南 北, 精装, 有, 218, 24410, 非共有
急急急急急！有汽车库！大三房两卫！, 4室2厅, 121.01, 南 北, 精装, 无, 200, 14276, 非共有
新城香溪园 双阳台精装三房 学在 看房随时 采光好, 4室2厅, 121.01, 南 北, 精装, 有, 203, 21173, 共有
湖景房，不靠高架，婚房装修，带暖气，隔音很安静, 4室2厅, 121.01, 南 北, 精装, 有, 199, 22026, 共有
人民北路17号 3室2厅 南, 4室2厅, 121.01, 南 北, 精装, 暂无数据, 150, 11532, 共有
电梯洋房，精装三房，近地铁，中高楼层采光好。, 4室2厅, 121.01, 南 北, 精装, 有, 234, 21667, 共有
方正4室，精装全配，双阳台，南北通风，成熟配套, 4室2厅, 121.01, 南 北, 精装, 有, 158, 13057, 共有
精装三房两卫，好楼层，前排洋房，已满二，车位另外算, 4室2厅, 121.01, 南 北, 精装, 有, 208, 19198, 共有
上海假日 3室2厅 南, 2室1厅, 89.85, 南, 精装, 暂无数据, 131, 11910, 共有
锦沧名苑小高层，满五唯一，40万精装有买断车位另售, 2室1厅, 89.85, 南, 精装, 有, 415, 32703, 共有
九方城商圈，满庭芳南北通透好房，诚心出售。带小车库, 2室1厅, 89.85, 南, 精装, 无, 186, 11602, 共有
此房视野开阔，采光充足，配套齐全，交通便利, 2室1厅, 89.85, 南, 精装, 有, 105, 10137, 共有
禹洲嘉誉山 纯毛坯 户型方正三居室 业主诚心出售, 2室1厅, 89.85, 南, 精装, 暂无数据, 157.3, 17543, 共有
此房满二年，格局方正，楼层好，生活配套齐全, 2室1厅, 89.85, 南, 精装, 有, 106, 20736, 非共有
电梯房   景观楼层   户型方正, 2室1厅, 89.85, 南, 精装, 有, 218, 20768, 共有
高铁新城板块，刚需必备 精装的 满五唯一  全明户型, 2室1厅, 89.85, 南, 精装, 无, 148, 17016, 共有
华亭梦立方中间楼层边户，卫生间有窗户, 2室1厅, 89.85, 南, 精装, 有, 42, 14199, 共有
两梯一户大平层一栋楼一个单元仅有的大露台精装修, 2室1厅, 89.85, 南, 精装, 有, 1480, 35218, 非共有
古典西班牙双屏别墅，小区环境优美，公园式景色, 2室1厅, 89.85, 南, 精装,  , 1080, 39607, 共有
房子满五唯一 保养还原度不错，诚心出售, 2室1厅, 89.85, 南, 精装, 有, 106, 21359, 共有
诚售！水乡独门独院，合院别墅，花园100平+30平露台, 3室2厅, 217.49, 南, 毛坯, 无, 256, 15531, 共有
美岸青城 四期 正三房 进门带入户花园 一线运河, 2室1厅, 89.85, 南, 精装, 有, 135, 14844, 非共有
轻轨旁精装两房 自住保养好 满两年诚心售 随时看房, 2室1厅, 89.85, 南, 精装, 有, 218, 24263, 非共有
钻石楼层，包你满意，此房满五唯一，省税，采光很好，, 3室2厅, 217.49, 南, 毛坯, 有, 120, 14042, 共有
汇景4 楼间距宽 采光好 位置好 环太湖一线, 3室2厅, 217.49, 南, 毛坯, 暂无数据, 122, 12997, 非共有
大庆2+1储藏室 全新翻新装现代简约风格  电梯好楼层, 3室2厅, 217.49, 南, 毛坯, 有, 130, 12425, 共有
房子精装修，中秧空调带地暖，满五唯一税费少, 3室2厅, 217.49, 南, 毛坯, 有, 300, 25838, 非共有
碧桂园三室两厅两卫毛坯房房产证满两年, 3室2厅, 217.49, 南, 毛坯, 有, 112, 8731, 共有
店长推荐 温馨2房 凤凰楼层 满五唯一, 3室2厅, 217.49, 南, 毛坯, 有, 105, 18604, 非共有
花桥裕花园 2室1厅 南, 3室2厅, 217.49, 南, 毛坯, 有, 125, 18940, 共有
万科三期次新房全屋墙布装修保养好拎包入住，诚心出售, 3室2厅, 217.49, 南, 毛坯, 有, 185, 21847, 非共有
珍珠湾湖景通透三房次顶楼全新毛坯带空中花园, 3室2厅, 217.49, 南, 毛坯, 有, 173, 16595, 非共有
中南世纪城(昆山) 2室2厅 南, 3室2厅, 217.49, 南, 毛坯, 有, 158, 19397, 共有
次新小区 水漾花城六期 纯毛坯大三房 中高楼层采光好, 3室2厅, 217.49, 南, 毛坯, 有, 275, 22521, 非共有
新上房源  大唐花苑124平 好楼层 有钥匙 诚心出售, 3室2厅, 217.49, 南, 毛坯, 无, 119, 9655, 共有
一期落地窗 采光全天不遮挡 保养好 急售好看房, 3室2厅, 217.49, 南, 毛坯, 有, 134, 20337, 非共有
一线湖景，俯瞰东太湖湿地公园，拥抱大美苏州湾, 3室2厅, 217.49, 南, 毛坯, 有, 555, 25519, 共有
万科品质 通透3房 万科统装 自住保养好 诚意出售, 4室2厅, 137.93, 南 北, 精装, 有, 316, 27637, 非共有
家具家电全留 洋房 楼层好 业主诚心 价格可谈, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 148, 15625, 共有
刚需必看 精装2房朝南 户型方正 带自行车库 楼层适中, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 115, 11929, 共有
地铁口 品质小区 精装修 户型通透 诚意出售, 4室2厅, 137.93, 南 北, 精装, 有, 266, 23952, 共有
店长推荐 风和日丽 楼层好房东诚心出售看房方便有钥匙, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 122, 11936, 非共有
和乐家园二楼中户房东385万诚售！带独库！, 4室2厅, 137.93, 南 北, 精装, 无, 382, 41293, 共有
三开间朝南，产证满二，中间楼层，采光好 价格可谈, 4室2厅, 137.93, 南 北, 精装, 有, 172, 18314, 共有
这个房子是2房 装修很新 领包入住 交通便利, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 56, 7714, 共有
龙湖200大平层 一线江景 全新好房, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 1128, 53894, 非共有
准新房 万科物业 户型方正 高得房, 4室2厅, 137.93, 南 北, 精装, 有, 180, 19188, 共有
