name,author,type,form
不科学御兽,轻泉流响,玄幻,连载
灵境行者,卖报小郎君,科幻,连载
深空彼岸,辰东,都市,连载
美漫世界黎明轨迹,帅犬弗兰克,游戏,连载
光阴之外,耳根,仙侠,连载
道诡异仙,狐尾的笔,玄幻,连载
择日飞升,宅猪,仙侠,连载
明克街13号,纯洁滴小龙,都市,连载
当不成赘婿就只好命格成圣,南瞻台,玄幻,连载
这游戏也太真实了,晨星LL,轻小说,连载
机武风暴,骷髅精灵,科幻,连载
深海余烬,远瞳,科幻,连载
夜的命名术,会说话的肘子,都市,完本
仙者,忘语,仙侠,连载
帝霸,厌笔萧生,玄幻,连载
我是导演，我不比烂,不是老狗,都市,连载
轮回乐园,那一只蚊子,轻小说,连载
赤心巡天,情何以甚,仙侠,连载
我的姐夫是太子,上山打老虎额,历史,连载
唐人的餐桌,孑与2,历史,连载
诡秘之主,爱潜水的乌贼,玄幻,完本
我用闲书成圣人,出走八万里,仙侠,连载
古神在低语,海棠灯,科幻,连载
家父汉高祖,历史系之狼,历史,连载
刚成仙神，子孙求我出山,任我笑,仙侠,连载
我家娘子，不对劲,一蝉知夏,轻小说,连载
请公子斩妖,裴不了,仙侠,连载
大奉打更人,卖报小郎君,仙侠,完本
终宋,怪诞的表哥,历史,连载
长生仙缘：从照顾道兄妻女开始,孤飞雪,仙侠,连载
我在霍格沃茨当赫敏的小奶狗,哈大帝,轻小说,连载
不想当杀手的巨龙不是好商人,煌或,奇幻,连载
我的属性修行人生,滚开,玄幻,连载
巫师：从骑士呼吸法开始肝经验,田隶,玄幻,连载
宇宙职业选手,我吃西红柿,科幻,连载
神话版三国,坟土荒草,历史,连载
从解析太阳开始,竹围月色,玄幻,连载
镇妖博物馆,阎ZK,悬疑,完本
红楼之挽天倾,林悦南兮,历史,连载
保护我方族长,傲无常,玄幻,连载
诸界第一因,裴屠狗,玄幻,连载
我的悟性爆炸了,爱睡觉懒人,玄幻,连载
吞噬星空,我吃西红柿,科幻,完本
四合院之饮食男女,武文弄沫,都市,连载
黎明之剑,远瞳,科幻,完本
我真没想重生啊,柳岸花又明,都市,完本
皓玉真仙,小道不讲武德,仙侠,连载
女侠且慢,关关公子,玄幻,连载
第一玩家,流泪猫安头,游戏,连载
我的治愈系游戏,我会修空调,悬疑,连载
从军火商到战争之王,耗子爱吃鸡腿,都市,连载
从武王伐纣开始建立千年世家,花非花月夜,历史,连载
万古神帝,飞天鱼,玄幻,连载
国王,新海月1,奇幻,连载
长生武道：从五禽养生拳开始,真不是许仙,玄幻,连载
神秘复苏,佛前献花,仙侠,连载
凡人修仙传,忘语,仙侠,完本
高天之上,阴天神隐,奇幻,连载
仙人只想躺着,猪心虾仁,都市,连载
我在修仙界万古长青,快餐店,仙侠,连载
我就是神！,历史里吹吹风,玄幻,连载
重生后才发现我有青梅,曹瞒君,轻小说,连载
什么叫六边形打野啊,这很科学啊,游戏,连载
我的公公叫康熙,雁九,历史,连载
黜龙,榴弹怕水,历史,连载
渊天尊,烽仙,仙侠,连载
大医无疆,石章鱼,都市,连载
剑本是魔,惰堕,仙侠,连载
我能用意念粉碎星球,俺来组成头部,科幻,连载
重生大时代之1993,三月麻竹,都市,连载
天启预报,风月,奇幻,连载
术师手册,听日,轻小说,连载
陈医生，别怂！,手握寸关尺,都市,连载
重生日常修仙,庭院阳光好,都市,连载
从柯南开始重新做人,李四羊,轻小说,连载
火力为王,如水意,都市,连载
家兄朱由校,北城二千,历史,连载
道士夜仗剑,亲吻指尖,仙侠,连载
修仙就是这样子的,凤嘲凰,仙侠,连载
全职高手,蝴蝶蓝,游戏,完本
十六岁，是四代目水影,埃尔德卷轴,轻小说,连载
从木叶开始逃亡,叶惜宁,轻小说,连载
在美漫当心灵导师的日子,遇牧烧绳,轻小说,连载
呢喃诗章,咸鱼飞行家,轻小说,连载
开局签到荒古圣体,J神,玄幻,连载
我的替身是史蒂夫,栖月幽蓝,轻小说,连载
我的物品有升级面板,枸杞不好喝,科幻,连载
苟在女魔头身边偷偷修炼,怕辣的红椒,仙侠,连载
开局满级爆射，梅西求我入阿根廷,臊子拌面,体育,连载
我降临于诸天世界,郭家,诸天无限,连载
没有英灵的我只能亲自下场,芋泥猫猫茶,玄幻,连载
国民法医,志鸟村,都市,连载
深渊独行,言归正传,科幻,连载
斗破苍穹,天蚕土豆,玄幻,完本
亲爱的，该吃药了！,小小小小小小飞,轻小说,连载
我有一枚两界印,西瓜吃葡萄,仙侠,连载
这个文字冒险游戏绝对有毒,七字五彩,科幻,连载
我的诡异人生,白刃斩春风,玄幻,连载
我可不是侦探,海底漫步者,都市,连载
重回1982小渔村,米饭的米,都市,连载
偷偷养只小金乌,育,玄幻,连载
仙子，请听我解释,弥天大厦,仙侠,连载
秦功,下雨我带刀,历史,连载
东京第一深情,我的大树出无尽,轻小说,连载
青莲之巅,肖十一莫,仙侠,连载
御魂者传奇,沙之愚者,诸天无限,连载
东京文艺教父,司马圭太,都市,连载
倾覆之塔,不祈十弦,科幻,连载
重生之我要冲浪,睡觉会变白,都市,连载
我在截教看大门,戈者何慕,玄幻,连载
转行后，我成了篮坛第一人,葛洛夫街兄弟,体育,连载
这个医生不缺钱,田间野鼠,都市,连载
这个明星很想退休,幼儿园一把手,都市,连载
完美世界,辰东,玄幻,完本
遮天,辰东,仙侠,完本
人道大圣,莫默,玄幻,连载
大乘期才有逆袭系统,最白的乌鸦,仙侠,完本
诡异复苏，我神明的身份瞒不住了,半纸情书0,游戏,连载
混在洪武当咸鱼,火红的鸡枞,历史,连载
天朝仙吏,六戏,仙侠,连载
武侠：开局奖励满级神功,落魄的小纯洁,武侠,连载
神宠又给我开挂了,石三,仙侠,连载
圣墟,辰东,玄幻,完本
谍影凌云,罗飞羽,军事,连载
7号基地,净无痕,科幻,连载
曾经，我想做个好人,常世,轻小说,连载
禁区之狐,林海听涛,体育,连载
我的艺人邻居,青椒真好吃,都市,连载
消费系男神,起酥面包,都市,连载
大夏文圣,七月未时,仙侠,连载
讨逆,迪巴拉爵士,历史,连载
万族之劫,老鹰吃小鸡,都市,完本
美利坚财富之路,新一思言,都市,连载
美利坚1982,一勺往事,都市,连载
人在港综，你管这叫卧底？,不吃葱花,诸天无限,连载
我的属性能升级,一拳抄人,诸天无限,连载
这个影帝要加钱,游方老盗,都市,连载
我真不想跟神仙打架,中秋月明,都市,连载
柯南之我不是蛇精病,烟火酒颂,轻小说,连载
大唐第一世家,晴了,历史,完本
星门：时光之主,老鹰吃小鸡,玄幻,完本
整座大山都是我的猎场,百李山中仙,都市,连载
晚唐浮生,孤独麦客,历史,连载
我一个人砍翻乱世,新丰,玄幻,连载
惊悚乐园,三天两觉,游戏,完本
我师兄实在太稳健了,言归正传,仙侠,完本
人生模拟：从养生功开始加词条,叁更兽,玄幻,连载
超维武仙,万事皆虚,玄幻,连载
签约AC米兰后，我开摆了,葬爱叶良辰,体育,连载
重生后，被倒追很正常吧,懒洋洋本懒,都市,连载
超神机械师,齐佩甲,游戏,完本
大明小学生,随轻风去,历史,连载
我的谍战岁月,猪头七,军事,连载
乱世书,姬叉,玄幻,连载
我的师父什么都懂亿点点,高楼大厦,仙侠,连载
从大学讲师到首席院士,不吃小南瓜,科幻,连载
霸武,开荒,仙侠,连载
我在玄幻世界冒充天机神算,残剑,玄幻,连载
华娱1997,胖一点,都市,连载
港娱的人生模拟器,曾经拥有的方向感,都市,连载
大时代从1983开始,晨风天堂,都市,连载
我娘子一个比一个诡异,海岸边的船只,仙侠,完本
我有一个修仙世界,纯九莲宝灯,仙侠,连载
御兽巡使,书荒被迫写书,轻小说,连载
基因大时代,猪三不,科幻,连载
终末的绅士,穿黄衣的阿肥,科幻,连载
大苍守夜人,二十四桥明月夜,仙侠,连载
一世之尊,爱潜水的乌贼,玄幻,完本
开局账号被盗，反手充值一百万,酒剑仙人,都市,连载
这么菜打什么职业？回家养猪去吧,想天开,游戏,连载
全球高武,老鹰吃小鸡,都市,完本
精灵之摆烂大师,爱人火枪手,轻小说,连载
最初进化,卷土,玄幻,连载
赘婿,愤怒的香蕉,历史,连载
绍宋,榴弹怕水,历史,完本
执法者手册,桃咕,轻小说,连载
我的生活有旁白,杯盏长生酒,都市,连载
我的模拟长生路,愤怒的乌贼,仙侠,连载
亚人娘补完手册,伊巍蟹,轻小说,连载
LOL：迦娜女神的召唤师,河流之汪,轻小说,连载
无限辉煌图卷,温茶米酒,武侠,连载
朕,王梓钧,历史,连载
大王饶命,会说话的肘子,都市,完本
LOL：我真是联盟职业选手,绝望从小很绝望,游戏,连载
这里是封神，励精图治有什么用,尽付东流,仙侠,连载
大明：我被朱棣模拟人生曝光了！,摆烂的阿屠,历史,连载
我将埋葬众神,见异思剑,仙侠,连载
穿越成为失落文明的监护AI,爆发尸,科幻,连载
武德充沛,烟火成城,科幻,连载
在木叶打造虫群科技树,百战羊,轻小说,连载
四合院里的读书人,八零阿涛,都市,连载
从岁月道果开始成圣,李鸿天,玄幻,连载
每天都离现形更近一步,陈词懒调,科幻,连载
我能进入仙侠世界,时明镜,仙侠,连载
重生飞扬年代,金蟾老祖,都市,连载
我绑架了时间线,一刀斩斩斩,科幻,连载
从龙族开始打穿世界,起飞的大象,轻小说,连载
人族镇守使,白驹易逝,玄幻,连载
超时空相亲,业火之剑,科幻,连载
万道龙皇,牧童听竹,玄幻,连载
诡异巫师世界,十园,奇幻,连载
光明壁垒,会摔跤的熊猫,科幻,连载
一念永恒,耳根,仙侠,完本
海兰萨领主,海逸小猪,奇幻,连载
我有一身被动技,熬夜吃苹果,玄幻,连载
奶爸学园,剑沉黄海,都市,连载
开局失业，我让歌坛大魔王回归,程砚秋,都市,连载
这个网游策划果然有问题,献歌,轻小说,连载
异仙列传,流浪的蛤蟆,仙侠,连载
影帝他不想当太监,江公子阿宝,都市,连载
异常生物见闻录,远瞳,科幻,完本
柯南之我真不是东京怪谈,人在江湖飞,轻小说,连载
我在现实世界加点修行,人走偏锋,科幻,连载
期待在异世界,如倾如诉,诸天无限,连载
我有一座冒险屋,我会修空调,悬疑,完本
仙笼,布谷聊,仙侠,连载
星环使命,虚伪王庭,科幻,连载
一品丹仙,八宝饭,仙侠,连载
福德天官,忽悠啊,仙侠,连载
百世求仙,黑茄酿啤酒,仙侠,连载
我在大虞长生,吃红薯不,仙侠,连载
烂柯棋缘,真费事,仙侠,完本
碧落天刀,风凌天下,玄幻,连载
修炼从简化功法开始,努力吃鱼,玄幻,连载
什么叫破坏型中场啊,亲爱的瓜,体育,连载
柯南里的捡尸人,仙舟,轻小说,连载
危机处理游戏,土土士,都市,连载
从红月开始,黑山老鬼,科幻,完本
我以神明为食,相思洗红豆,科幻,连载
妖尾：开局捕捉妖精女王艾露莎,墨守不成呱,轻小说,连载
从天才开始无敌于斗破,a小白b,轻小说,连载
五年县令，亿斤粮震惊李世民,神桦周,历史,连载
来自星渊,深度绯红,游戏,连载
霍格沃茨之灰巫师,睡个饱觉,奇幻,连载
穿越秦时的日常生活,云间曼陀,轻小说,连载
仙逆,耳根,仙侠,完本
仙府长生,长亭空省,仙侠,连载
重生之似水流年,苍山月,都市,完本
苟在仙界成大佬,沉入太平洋,仙侠,连载
大明：我，朱棣第四子,星月长江,历史,连载
重生之逆流十年,蜜汁姬,轻小说,连载
智人,岭南仨人,科幻,连载
无尽债务,Andlao,轻小说,连载
半仙,跃千愁,仙侠,连载
亏成首富从游戏开始,青衫取醉,游戏,完本
香江新豪门,任猪飞,都市,连载
大国军舰,华东之雄,军事,连载
还好分身可以投放万界,团又圆,轻小说,连载
叩问仙道,雨打青石,仙侠,连载
唐砖,孑与2,历史,完本
玄浑道章,误道者,仙侠,连载
放开那个女巫,二目,奇幻,完本
高武大明：穿成朝廷鹰犬,狐妖九千岁,武侠,连载
现代长生：从八段锦开始,二将,都市,连载
我不可能是剑神,裴不了,仙侠,完本
地球上最后一幢楼,死神钓者,科幻,连载
斗罗：我加载了奥德赛凯隐语音包,缘求木,轻小说,连载
从呆毛王开始公开处刑,重新飞起来,轻小说,连载
重回七七种田养娃,参娃,都市,连载
我只想安静的做个苟道中人,爆炸小拿铁,仙侠,连载
综武：同福算卦，开局为雄霸批命,上官大锤,玄幻,连载
诸天纵横，从港综开始,李家小雨,诸天无限,连载
赛博朋克：传奇人生,深夜热泡面,轻小说,连载
猎人：我真不是除念师,紫蓝色的猪,轻小说,连载
医路坦途,臧福生,都市,连载
大道韶华,雾外江山,仙侠,连载
李治你别怂,贼眉鼠眼,历史,连载
北美神探：我精通各种美式居合,一帆狗贼,都市,连载
什么鬼上单,乱码有个性,游戏,连载
重返1995,月阳之涯,都市,连载
日光木叶,易安z,轻小说,连载
数风流人物,瑞根,历史,连载
诸天：从莽荒纪开始，做永恒主角,落寞随风,诸天无限,连载
情圣结局后我穿越了,夏竖琴,仙侠,连载
重生的我只想专心学习,纯纯的橙,都市,连载
修真聊天群（聊天群的日常生活）,圣骑士的传说,都市,完本
武道长生从内丹术开始,黑源白,玄幻,连载
我能召唤离谱伙伴,扑街天线,轻小说,连载
谍影风云,寻青藤,军事,完本
北阴大圣,蒙面怪客,科幻,连载
无限之剧本杀,过水看娇,诸天无限,连载
诸界末日在线,烟火成城,诸天无限,完本
四合院：最后的赢家,曹丞相大人,都市,连载
三国：曹营谋主，朝九晚五,不屈青铜,历史,连载
我成了异界主宰,落日弥漫的星空,奇幻,连载
从神探李元芳开始,兴霸天,历史,连载
万相之王,天蚕土豆,玄幻,连载
无限流的元宇宙,A000浮肿,游戏,连载
篮坛：从神经刀开始,无情恋苍生,体育,连载
一开始，我只想搞钱,油炸大金,都市,连载
修仙从祖先显灵开始,天地有缺,仙侠,连载
从执教皇马开始,陈爱庭,体育,连载
超神宠兽店,古羲,玄幻,完本
学霸的黑科技系统,晨星LL,科幻,完本
帝皇的告死天使,莫格卓根,奇幻,连载
艾泽拉斯阴影轨迹,帅犬弗兰克,游戏,完本
我有一座气运祭坛,叮叮小石头,武侠,连载
北宋大法官,南希北庆,历史,连载
魔临,纯洁滴小龙,悬疑,完本
诛仙,萧鼎,仙侠,完本
我的精灵训练家模拟器,疯狂沉默,轻小说,连载
英雄无敌之隐藏建筑大师,凶猛公仓鼠,游戏,连载
斩妖除魔，开局获得六十年功力,海上月镜中花,玄幻,连载
一心摆烂的我却直奔篮球名人堂,不爱吃草的羊,体育,连载
我在亮剑搞援助,骑鲸蹈海,军事,连载
庆余年,猫腻,历史,完本
恭喜你被逮捕了,Iced子夜,游戏,连载
诡秘地海,狐尾的笔,奇幻,完本
大道争锋,误道者,仙侠,完本
仙人消失之后,九方烨,仙侠,连载
影视：开局获得阿尔法狗,水晶咕咾肉,诸天无限,连载
靖安侯,漫客1,历史,连载
迪迦世界的盖尔文人,懒人zero,诸天无限,连载
苟在东宫涨天赋，发现太子女儿身,机械八爪,玄幻,连载
吞噬星空之万物之主,天欲飞霜,诸天无限,连载
我加载了怪谈游戏,十三谦,轻小说,连载
机械炼金术士,盲候,游戏,连载
自律的我简直无敌了,一蓑烟鱼2号,玄幻,连载
联盟：我真没有摆烂啊！,幽影夜神,游戏,连载
终极星卡师,云上椿,玄幻,连载
曹操穿越武大郎,神枪老飞侠,历史,连载
脑海带着一扇门,薄荷也会上火,都市,连载
差异点末日,更从心,游戏,连载
我的夫人是神捕,贫道爱烫头,诸天无限,连载
道祖是克苏鲁,板斧战士,仙侠,连载
我在尊魂幡里当主魂,灵山王,仙侠,连载
我在诸天轮回封神,封七月,玄幻,连载
无限恐怖,zhttty,诸天无限,完本
最后的黑暗之王,山川不念,玄幻,连载
被拒绝后，我成了世一教,爱看球的蚂蚁,体育,连载
在第四天灾中幸存,纳西利亚,游戏,连载
走进不科学,新手钓鱼人,科幻,连载
在异界开医院没有那么难吧,加兰2020,奇幻,连载
美漫丧钟,混沌文工团,轻小说,连载
超神：文明崛起,撒娇的野狗,轻小说,连载
修真四万年（《星域四万年》）,卧牛真人,科幻,完本
稳住别浪,跳舞,都市,连载
战锤：开局就是灭世危机,作死的小黑龙,诸天无限,连载
狠人系统：开局九龙拉棺纹上身,长江无风流,都市,完本
绝世狠人，砍翻天下,缺悦,武侠,连载
招黑体质开局修行在废土,陈风笑,科幻,连载
修复师,打眼,都市,连载
我成了游戏里的反派之王,萝卜丸,游戏,连载
开局躺平，截胡五星女帝老婆,三冠绝尘,玄幻,连载
牧神记,宅猪,玄幻,完本
长夜余火,爱潜水的乌贼,玄幻,完本
恋爱要在模拟后,归来细雨中,轻小说,连载
深夜书屋,纯洁滴小龙,悬疑,完本
没钱上大学的我只能去屠龙了,宇宙无敌水哥,轻小说,连载
这个影帝只想刷属性,妖妖零九,都市,连载
天道今天不上班,魔性沧月,仙侠,连载
我的救世游戏成真了,笔墨纸键,轻小说,连载
我在香江兴风作浪,竹叶糕,都市,连载
美漫：我在大萧条画超人,月上心偷,诸天无限,连载
国术？贫道不会，我只会雷法,乌龙桃子,都市,连载
成仙后，蓝星老家联系我了,屠龙证道,轻小说,连载
青葫剑仙,竹林剑隐,仙侠,连载
漫游在影视世界,不是马里奥,诸天无限,连载
我家老婆来自一千年前,花还没开,轻小说,完本
朕真不是中山靖王啊,血狸奴,历史,连载
让你当质子，你追敌国女帝？,想喝胡辣汤吖,仙侠,连载
从漂在港综开始,大一大夫,诸天无限,连载
黑神话：大唐,独孤欢,仙侠,连载
黑石密码,三脚架,奇幻,连载
京都羽翼的荣光,月华礼吻,轻小说,连载
天命第一仙,寂寞我独走,仙侠,连载
神明模拟器,鹿人戛,科幻,连载
大英公务员,青山铁杉,历史,连载
出笼记,核动力战列舰,科幻,连载
从剧本杀店开始,吨吨吨吨吨,都市,连载
龙族：从战锤归来的路明非,白色圣堂,轻小说,连载
海贼：退休前赚一万亿不过分吧！,日落近黄昏,轻小说,连载
夫人让我三更死,极品豆芽,仙侠,连载
这个外挂过于中二,鱼狱圄,玄幻,连载
这个外援强到离谱,街区转角,游戏,连载
糜汉,酱油拌历史,历史,连载
这一世，我再也不渣青梅竹马了,风吟晨鸣,都市,连载
黑雾之王,水星异种,都市,连载
大明嫡长子,皇家雇佣猫,历史,连载
我的动画时代,粉笔白,都市,连载
重启创业时代,何主沉浮,都市,连载
赛博世界的重生者,终焉歌者,游戏,连载
我在春秋不当王,羲和晨昊,历史,连载
宝可梦修改器,骑车的风,轻小说,连载
诡异世界，我能敕封神明,第九天命,仙侠,连载
海贼：第一个伙伴是汤姆猫,想吃冰棒,轻小说,连载
聊斋大善人,白菜官,仙侠,连载
打工先知,小呆昭,科幻,连载
东京泡沫人生,大肚杯,都市,连载
我在修仙界长生不死,木工米青,仙侠,连载
顶级悟性：从基础拳法开始,月中阴,玄幻,连载
我能进入众生前世,知好道人,仙侠,连载
奥术神座,爱潜水的乌贼,玄幻,完本
都市极品医神,风会笑,都市,连载
迷雾之仙,多脑鱼,仙侠,连载
修仙就是这么科学,吃瓜子群众,仙侠,连载
嘉佑嬉事,血红,仙侠,连载
朕就是亡国之君,吾谁与归,历史,连载
从姑获鸟开始,活儿该,诸天无限,连载
轮回模拟：我能逆天改命,江河载月,仙侠,连载
长生道种,钓鲸者,玄幻,连载
玩家请上车,海晏山,悬疑,连载
核动力剑仙,乘风御剑,玄幻,连载
锅影忍者,想静静的顿河,轻小说,连载
狼人杀：请开始你的表演,辣椒炒果米,游戏,连载
华娱之光影世界,苦苦挣扎的夜雨,都市,连载
华娱从艺校开始,公子胖无双,都市,连载
全球领主：开局成为沙漠领主,吐泡泡的鲤鱼,科幻,连载
这个海贼背靠正义,信息交流,轻小说,连载
阿尔宙斯的海贼之旅,白色鸽鸽子,轻小说,连载
人生副本游戏,我爱小依,轻小说,连载
亡灵法师的大航海,丁小别,游戏,连载
我成了女频修仙小说中的炮灰,梦里几度寒秋,仙侠,连载
佣兵的战争,如水意,现实,完本
满唐红,圣诞稻草人,历史,连载
我要与超人约架,辣酱热干面,轻小说,连载
我真的不虚啊,武三毛,仙侠,连载
盗墓：打造长生世家,帝月花,轻小说,连载
秦吏,七月新番,历史,完本
我不是那种富二代,指数涵,都市,连载
洪荒历,zhttty,奇幻,连载
欢想世界,徐公子胜治,科幻,连载
儒道至圣,永恒之火,玄幻,完本
我的室友不对劲,屠鸽者,轻小说,连载
全球卡牌：我创造东方神话卡组,压盖,玄幻,连载
我导演了玄武门事变,海里寻珠的胖橘,历史,连载
开局巅峰贝克汉姆，帅就完了,主教练高俅,体育,连载
弃宇宙,鹅是老五,仙侠,完本
我组建了最强剑客集团,漱梦实,轻小说,连载
光明！,夜影恋姬,科幻,连载
从光字片开始的影视诸天,混乱不堪,诸天无限,连载
科技尽头,一桶布丁,科幻,连载
我能召唤历史喵,呜喵王之怒,都市,连载
凡人之长生仙道,三驴大夫,仙侠,连载
我儿快拼爹,东土大茄,玄幻,完本
怪谈玩家,薄情书生,都市,连载
西游：瞎眼五百年，弟子全是大妖,玄奕,玄幻,连载
这个演员刑啊,青山病院扛把子,都市,连载
关于我无意间把妹妹养成废人这事,我不喜欢偷懒,轻小说,连载
我们的时代：至死不渝,玲婉,历史,连载
这个明星不加班,茗夜,都市,连载
美漫之开局融合祖国人,摘星上人,诸天无限,连载
低调在修仙世界,超喜欢吃烧烤,仙侠,连载
龙族：重启人生,念头不通达,轻小说,连载
神诡：从加点开始到地表最强,卜灵卜灵的,仙侠,连载
华娱请多指教,我才不要睡觉,都市,连载
太受玩家欢迎该怎么办,绯色回响,轻小说,连载
吾弟大秦第一纨绔,精品香烟,历史,连载
悍腰,金印,体育,连载
从八百开始崛起,汉唐风月1,军事,连载
华娱好人传,作死的迪伦马特,都市,连载
合道,断桥残雪,仙侠,连载
半岛小行星,鸡兔同笼,都市,连载
我的老婆是执政官,录事参军,历史,连载
女主从书里跑出来了怎么办,姬叉,都市,完本
编造谎言成真：开局忽悠老子修仙,十二月生肖,玄幻,连载
武炼巅峰,莫默,玄幻,完本
一个人的道门,剑如蛟,仙侠,连载
白骨大圣,咬火,玄幻,连载
掌灯判官,沙拉古斯,玄幻,连载
玄德,御炎,历史,连载
成为怪谈就算成功,翟南,轻小说,连载
斗罗：开局让玉小刚身败名裂,会飞的臭豆腐,轻小说,连载
我可以挂机修行,天下无糖可发,玄幻,连载
交互式小说：失业后的正确选择,敖何安,轻小说,连载
在这个没有救世主的霍格沃茨,大海船,轻小说,连载
全职艺术家,我最白,都市,完本
我的徒弟都是大反派,谋生任转蓬,玄幻,完本
诡秘：不死人不死于传火,你滴勋宗,玄幻,连载
逐道长青,奕念之,仙侠,连载
反清覆明：从扬州开始,苍徒,历史,连载
诡道修仙,实属弟中之弟,仙侠,连载
问剑,黑灯夏火,仙侠,连载
封神：开局观想中子星,青灯路,仙侠,连载
大明：开局成为锦衣卫,三两忧愁,玄幻,连载
我的修仙游戏人生,青空洗雨,仙侠,连载
重塑千禧年代,渔雪,都市,连载
我的女友来自未来！,骚茶,轻小说,连载
嘿，妖道,我是瞎混的,仙侠,连载
大医凌然,志鸟村,都市,完本
不装了，我是厨神我摊牌了！,馋嘴小猫咪,都市,连载
火影：从无限月读走出的漩涡面麻,爱讲道理,轻小说,连载
大魏宫廷,贱宗首席弟子,历史,完本
从明星野外生存秀开始,来不及忧伤,都市,连载
覆汉,榴弹怕水,历史,完本
工业狂魔,好多牛,都市,连载
庶子无敌,上汤豆苗,历史,连载
大明嫡子,肉丝米面,历史,连载
御兽：我能无限进化,大漠草履虫,玄幻,连载
我打造了科学魔法,纯洁小天使,轻小说,连载
求魔,耳根,仙侠,完本
篮球永不眠,澡睡躁起,体育,连载
从1983开始,睡觉会变白,都市,完本
第一序列,会说话的肘子,都市,完本
完蛋！我成替身了！,六月观主,仙侠,连载
火影：这个宇智波太过正经,方5,轻小说,连载
从黑科技到超级工程,三分糊涂,科幻,连载
苟在异界成武圣,再入江湖,玄幻,连载
影视世界从药神开始,楞个哩嗝楞,诸天无限,连载
干宋,任鸟飞,历史,连载
